LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(microns),(microns),(microns),(sec),,(microns),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(microns),(microns),(microns),(microns),(radians),,(microns^2),(microns),,,
ID2114,2114,0,-1.0,156.67618087391503,57.81254927205904,0.0,12000.35400390625,5,5.0,1,,60.36439888164026,57.0,20.0,187.0,64771.0,22.129843260207195,133.7875116495806,133.0,9.0,255.0,143554.0,87.82855985375808,14.856477166821994,13.0,2.0,79.0,15941.0,9.309555027866551,-0.028090694251721872,-0.15767733473014792,0.42536011217606484,0.9091634563218842,-0.026385823594184704,-0.08649692688351698,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2146,2146,0,-1.0,167.7557294760595,67.47164841333671,0.0,31200.92041015625,13,5.0,1,,69.2013047530289,53.0,14.0,232.0,74253.0,41.63830709453758,90.91891891891892,45.0,3.0,255.0,97556.0,87.27388666067294,5.750232991612302,5.0,0.0,23.0,6170.0,2.956630299093036,-0.03089025200331766,-0.10594969331728528,0.3341035157813243,0.5217848419329759,0.017094660085856677,0.0653758743062906,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2178,2178,0,-1.0,162.64209165968515,64.63073690119622,0.0,50401.48681640625,21,5.0,1,,105.61602982292638,105.0,12.0,226.0,113326.0,43.25637089958073,107.97390493942218,104.0,6.0,255.0,115856.0,69.1755100023429,4.278657968313141,4.0,0.0,29.0,4591.0,2.5618617274754802,0.2850741384411805,1.0832766699912573,0.4306301309440097,0.939665929413305,-0.0463330022535889,-0.16228394972073756,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2118,2118,0,-1.0,151.27845206774208,57.24436696963094,0.0,14400.4248046875,6,5.0,1,,45.218080149114634,42.0,11.0,140.0,48519.0,19.796138466286894,129.2954333643989,127.0,3.0,255.0,138734.0,93.08299211612461,31.02050326188257,21.0,5.0,255.0,33285.0,29.73150291847466,-0.26668160621528675,-1.6613537488429968,0.3987849356347141,0.792009962379632,0.27198677487515976,0.44619753143158014,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2150,2150,0,-1.0,160.36936374129652,67.47164841333671,0.0,33600.9912109375,14,5.0,1,,98.12022367194781,102.0,16.0,197.0,105283.0,32.14849366185053,102.50885368126747,93.0,4.0,255.0,109992.0,80.34090242528623,4.80242311276794,4.0,1.0,29.0,5153.0,2.7382915096286,0.20952737701531712,1.057433268951715,0.41644202422117604,0.7502576157014849,-0.10263315588935089,-0.40116995564415625,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2182,2182,0,-1.0,162.64209165968515,63.494372296340025,0.0,52801.5576171875,22,5.0,1,,103.55731593662628,105.0,12.0,214.0,111117.0,47.32287010083103,104.69990680335508,99.0,8.0,255.0,112343.0,71.41514227832303,4.037278657968313,3.0,0.0,18.0,4332.0,2.146784486660309,0.24018707509655482,0.8476218382655634,0.44847060251051646,0.9078420184125441,-0.060724225680832626,-0.24316392104101794,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2122,2122,0,-1.0,146.1648142513677,59.51709617934333,0.0,16800.49560546875,7,5.0,1,,55.73904939422181,44.0,11.0,193.0,59808.0,32.87758465281427,129.22833178005592,125.0,4.0,255.0,138662.0,82.05484297872367,29.474370922646784,22.0,3.0,239.0,31626.0,26.19686422359746,-0.12971991645974942,-0.5054023585452199,0.3840496104938402,0.8740156044204365,0.4064644659664245,0.6503079322464049,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
