SOURCE_IMAGE,LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEDIAN_INTENSITY_CH4,MIN_INTENSITY_CH4,MAX_INTENSITY_CH4,TOTAL_INTENSITY_CH4,STD_INTENSITY_CH4,MEAN_INTENSITY_CH5,MEDIAN_INTENSITY_CH5,MIN_INTENSITY_CH5,MAX_INTENSITY_CH5,TOTAL_INTENSITY_CH5,STD_INTENSITY_CH5,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,CONTRAST_CH4,SNR_CH4,CONTRAST_CH5,SNR_CH5,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Source Image,Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Mean intensity ch4,Median intensity ch4,Min intensity ch4,Max intensity ch4,Sum intensity ch4,Std intensity ch4,Mean intensity ch5,Median intensity ch5,Min intensity ch5,Max intensity ch5,Sum intensity ch5,Std intensity ch5,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Contrast ch4,Signal/Noise ratio ch4,Contrast ch5,Signal/Noise ratio ch5,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Source Image,Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Mean ch4,Median ch4,Min ch4,Max ch4,Sum ch4,Std ch4,Mean ch5,Median ch5,Min ch5,Max ch5,Sum ch5,Std ch5,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,Ctrst ch4,SNR ch4,Ctrst ch5,SNR ch5,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,,QUALITY,POSITION,POSITION,POSITION,TIME,NONE,LENGTH,NONE,NONE,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,INTENSITY,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,LENGTH,LENGTH,LENGTH,LENGTH,ANGLE,NONE,AREA,LENGTH,NONE,NONE,NONE
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID188,188,8,4120.0,86.75403880412766,69.61466933922023,0.0,0.0,0.0,10.285509699547763,1.0,,83.56740344911343,76.0,15.0,249.0,344047.0,39.71638564880486,138.55793053194074,132.0,3.0,255.0,570443.0,75.23032891798174,15.63735729900413,13.0,0.0,197.0,64379.0,14.958897154976047,252.77022103473402,255.0,0.0,255.0,1040655.0,23.74360242768166,2.5584163225649745,3.0,1.0,3.0,10533.0,0.5343408413171474,0.047915482330658954,0.19241848558568247,0.7794983356222055,1.613563381385793,-0.03139900373772202,-0.06777425243834426,1.0909716985680615,11.108991182213439,0.06508634947517493,0.5851779296265432,1.7741992191883467,0.29987417541732514,30.74444330179828,3.769634732411756,3.0928505396817636,8.155814948714792,332.3544582539527,171.5000196632302,0.14199826059033635,0.592773859219807,9.40726590112342
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID181,181,3,5648.0,117.78520748415454,48.60267429358084,0.0,0.0,0.0,12.0456430896836,1.0,,59.56413890857548,46.0,2.0,244.0,336180.0,40.571431749456266,91.0099220411056,57.0,1.0,255.0,513660.0,78.38264924751802,30.180191353649892,13.0,0.0,255.0,170337.0,44.24006518936355,252.60542168674698,255.0,0.0,255.0,1425705.0,24.596557816200402,3.0,3.0,3.0,3.0,16932.0,0.0,0.028151646244089824,0.08039724199064041,0.6846935701266711,0.9437873045913024,0.14582887746860368,0.1736440857465887,1.0445766124146143,10.493859346710959,0.08062023765119622,Infinity,-1.1043173789448042,-0.5043537528693104,39.80599839079527,4.106058281487391,0.2090219367774878,9.694455280935717,455.83729485631994,255.4952990342155,0.08775136708019994,0.49991148875907254,11.966798724426576
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID190,190,,1113.0,280.51049296298675,73.71673220875064,0.0,0.0,0.0,5.354448480636475,1.0,,41.681574239713775,38.0,2.0,110.0,46600.0,18.88543039319944,109.02504472271914,91.0,6.0,255.0,121890.0,67.56538196753408,10.000894454382827,6.0,0.0,72.0,11181.0,6.328305280409914,250.89445438282647,255.0,0.0,255.0,280500.0,32.10888962348913,1.0,1.0,1.0,1.0,1118.0,0.0,-0.15520266687695958,-0.8109496065616533,0.6504845871017743,1.27191348097632,-0.11374388361240875,-0.40564882756528137,0.9138088024786792,7.461953869932235,-0.06377014716187811,-Infinity,0.032811677488348616,0.4398580038537901,8.875824893049408,3.6126910587745096,2.701115149758822,2.456845810685027,90.06983375702085,53.63785063423406,0.3934109938225687,0.6994672516452533,5.651733641879786
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID184,184,3,4743.0,121.42973398089462,48.2218623351223,0.0,2400.078125,1.0,11.059404370342472,1.0,,49.40121771992442,39.0,2.0,229.0,235298.0,31.998189630571744,78.08566029813143,50.0,3.0,255.0,371922.0,69.80525055585389,17.796556791937853,13.0,0.0,241.0,84765.0,19.824428142636688,242.15095528028553,255.0,0.0,255.0,1153365.0,55.785856953400135,3.0,3.0,3.0,3.0,14289.0,0.0,-0.12053125788324978,-0.4231764807702782,0.6131206423269546,0.8503393598461999,-0.23438692014769313,-0.5496539332526207,0.9969081960207988,4.334002330504931,0.011257434154630423,Infinity,0.04907629642699482,0.13677088631622827,31.841721313890403,3.985895719282191,0.23250993568728945,7.988598688082259,384.24953272148343,171.74365804201184,0.16370494350535683,0.6573243131299182,8.761410620587554
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID189,189,8,4011.0,88.12719763494191,69.33272883648316,0.0,2400.078125,1.0,10.149738035025358,1.0,,78.98926877963564,73.0,17.0,225.0,316510.0,35.20518466218772,132.79386074369853,125.0,1.0,255.0,532105.0,69.63824168648878,15.537808834539556,13.0,0.0,130.0,62260.0,14.385776990519528,253.02720239580734,255.0,0.0,255.0,1013880.0,22.344933757739618,2.6321437484402295,3.0,2.0,3.0,10547.0,0.4822821551586496,9.536892422324029E-4,0.004275474904569127,0.7552899732069625,1.6410622048509529,-0.014938125793653749,-0.03275812591068263,1.062721801507372,11.668017429853665,0.07052328806761254,0.7190760755276725,-0.053777016055415856,0.19730533835833294,30.027108814522215,3.5447629862652392,3.1113212508489463,8.47083681782594,323.6380227290797,157.31037048906416,0.16434431873518796,0.640166028097062,8.744351047060952
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID195,195,,908.0,26.74696127869757,89.3930015279386,0.0,2400.078125,1.0,4.836404560307505,1.0,,54.073545554335894,48.0,2.0,170.0,49261.0,32.74466775562429,38.3589462129528,28.0,1.0,242.0,34945.0,36.197954295126266,10.107574094401757,6.0,0.0,65.0,9208.0,6.578975649144145,248.84193194291987,255.0,0.0,255.0,226695.0,39.167199191764006,0.9209659714599341,1.0,0.0,1.0,839.0,0.2699400624255757,0.20889922595944957,0.5707172318436895,0.4484616310976191,0.6561920022296405,-0.01591097695225519,-0.049679945357404484,1.1428612961457105,6.776891115549463,0.13075923293722752,0.7890571458297307,-0.3228447170385957,-0.49549544143585716,6.467588228837954,5.328387701268591,1.167989931754609,1.2137983554196217,73.4843939388596,62.542850702029384,0.23607480288037347,0.528592162554427,7.295920854318258
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID168,168,8,4327.0,89.49619251492823,69.8922925795501,0.0,4800.15625,2.0,10.549378410051203,1.0,,71.60812370182322,66.0,14.0,208.0,310278.0,31.59986366532374,138.1357027463651,138.0,1.0,255.0,598542.0,69.92785856315228,14.652204015693515,13.0,0.0,144.0,63488.0,13.53173206676075,252.94022617124395,255.0,0.0,255.0,1095990.0,22.82805129227518,2.4897299792291716,3.0,1.0,3.0,10788.0,0.6472459205298561,-0.042823024270430346,-0.2027646175083126,0.7281478072037938,1.6646554986176283,-0.06529269697125198,-0.15127547828902266,0.9586939001816684,10.846570710053701,0.06763779471825261,0.4873920290371029,-1.2047651332776352,0.14747202110440108,25.85277219463749,4.637804515518034,-0.019701910738324255,5.574355734083757,349.6259138310158,157.1041083397531,0.17800753825673862,0.6031746031746033,8.402059155769415
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID110,110,8,3000.0,97.77035677386725,69.08910433225547,0.0,7200.234375,3.0,8.779695674802598,1.0,,53.08302767589196,50.0,10.0,160.0,159196.0,23.236538752398115,154.56485495165055,157.0,11.0,255.0,463540.0,68.85495175723804,12.373791263754585,9.0,3.0,79.0,37109.0,11.36741565866878,253.29943314438145,255.0,0.0,255.0,759645.0,20.758041828308176,2.7382460820273424,3.0,1.0,3.0,8212.0,0.474683692440591,-0.08251237225661788,-0.4108971233556031,0.7786617885895984,1.9654457269689531,-0.13319918930378166,-0.33454405242613844,1.0008942630816726,12.207926103413433,0.06737382027091354,0.7282370756618817,-0.6087181101252267,0.1973163019535855,19.785897292097353,4.250536761100425,3.0919160546773883,4.654917344362636,242.16356289242,109.84687749511482,0.25219892398601607,0.6740424575985627,7.058839664096178
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID176,176,8,4591.0,96.7230658951182,69.88004560021504,0.0,9600.3125,4.0,10.874345677255718,1.0,,59.41242937853107,53.0,7.0,216.0,273416.0,27.86559635721642,131.91568883094305,128.0,4.0,255.0,607076.0,69.0878365908551,14.31051716644937,12.0,1.0,98.0,65857.0,12.245454523251134,253.17144719687093,255.0,0.0,255.0,1165095.0,21.51831722341276,2.584528465884398,3.0,1.0,3.0,11894.0,0.6357491728798728,-0.08292920486616874,-0.38560584025622924,0.7580930013377272,1.6466659075753722,-0.06007585571682461,-0.1493886404134387,1.0408978303471172,12.001160765573976,0.05332799643580359,0.4116396037743783,-0.06539092355809814,1.737572403625736,27.102145512816133,6.387403867727415,-0.02237394052472509,4.243061198893448,371.4977103795397,177.76506702677852,0.14773151909424836,0.4768218780753093,9.222918059791478
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID163,163,,1065.0,120.00475781040149,23.092078313621734,0.0,12000.390625,5.0,5.226986688085054,1.0,,12.583962264150943,11.0,2.0,55.0,13339.0,8.758512781085653,34.99622641509434,25.0,1.0,255.0,37096.0,38.070184985134034,13.881132075471697,7.0,0.0,204.0,14714.0,18.845002259035926,249.46698113207546,255.0,0.0,255.0,264435.0,37.1700002443866,0.20754716981132076,0.0,0.0,2.0,220.0,0.6102211109049406,-0.2208588039607469,-0.8145459396614291,0.4657799405822036,0.5842224388143495,0.2363107374161872,0.2815882329922758,1.14615914697125,7.168586075057424,-0.6600366383581376,-1.3206736464282323,-0.811612072975929,0.3317981846895157,7.235181394085587,5.1660754063416645,2.68019678572897,1.4005179609271619,85.83267759909634,71.38038745972244,0.21169213490805933,0.49859353023909997,7.70464389476612
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID167,167,8,4066.0,94.43842067155661,69.70613996071782,0.0,12000.390625,5.0,10.217849381330973,1.0,,59.3493353028065,52.0,8.0,226.0,241077.0,29.890365596296277,150.79148202855737,151.0,2.0,255.0,612515.0,70.33765327286329,13.20654849827671,12.0,0.0,103.0,53645.0,11.663737571925584,253.24224519940915,255.0,0.0,255.0,1028670.0,21.100885883268216,2.5876415558838013,3.0,1.0,3.0,10511.0,0.5012418967727518,-0.06788540329415145,-0.2892156044771394,0.7734054792034523,1.8698989137115105,-0.07459509010976567,-0.1825408338473781,1.0311977289841097,12.18583259805891,0.08115229703347822,0.7749981926590627,0.5491311074037594,-0.10649395598789045,26.698425503490988,4.078207347255521,0.0028929666756409844,6.5466081614163185,327.9962404915161,149.9291163514736,0.18336091484577388,0.6538492478481214,8.278498004733999
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID125,125,8,4944.0,97.91804347123222,70.03746202819126,0.0,14400.46875,6.0,11.275644471874765,1.0,,50.526443278159064,45.0,10.0,198.0,250308.0,24.340711315057106,132.4107791683488,127.0,7.0,255.0,655963.0,64.0487887305789,12.800565199838514,10.0,1.0,98.0,63414.0,10.50738790417653,252.27190149374243,255.0,0.0,255.0,1249755.0,26.236645141701512,2.5080742834073475,3.0,1.0,3.0,12425.0,0.5758055179319231,-0.05268883794279797,-0.23090929944768962,0.8103040697037749,1.8507122870408834,-0.02306116100933132,-0.05751460857488629,1.0771283998044545,9.972285601844698,0.06748625455229412,0.5507412457397042,-0.6421412121521924,0.08241442099567059,33.05642634740278,4.250945592658022,0.006553232915439411,7.7762525129693145,399.42258715367007,195.73332065428025,0.13101256705758837,0.5525904421616796,9.793737372778025
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID153,153,,965.0,133.33553010739234,29.540327814192693,0.0,16800.546875,7.0,4.979047891522343,1.0,,15.665628245067497,15.0,2.0,69.0,15086.0,10.01539004375758,81.79543094496366,51.0,3.0,255.0,78769.0,71.71722523147737,9.839044652128765,6.0,0.0,93.0,9475.0,9.232729673030605,249.70404984423675,255.0,0.0,255.0,240465.0,36.38399179366713,0.6479750778816199,0.0,0.0,2.0,624.0,0.9364769824567949,-0.06240863037780373,-0.20822889533116143,0.6007097818794723,0.8560274029445494,0.07563791984601202,0.14987399354146994,1.0063652961731842,6.8847929081330035,-0.21443330956288892,-0.3777464391696387,0.3972716209198903,0.9882396151523661,10.605265540351956,2.7517478713399166,0.8225363476372405,3.854010627502695,77.88296556946686,52.1011393474316,0.36054369298491484,0.7244744744744748,5.903723111569342
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID157,157,,365.0,53.5992805450837,91.1643821424712,0.0,16800.546875,7.0,3.05797083280915,1.0,,38.320547945205476,37.0,12.0,86.0,13987.0,13.193977136025522,30.682191780821917,26.0,2.0,175.0,11199.0,22.2229669243142,7.989041095890411,6.0,0.0,25.0,2916.0,4.0294097965764255,250.8082191780822,255.0,0.0,255.0,91545.0,32.46877516678045,1.0,1.0,1.0,1.0,365.0,0.0,-0.016202791382557404,-0.09566877946019553,0.2581689712612807,0.5666037045576912,0.04574975539364397,0.17347792450691604,0.7158893380881893,6.445586975611027,0.0018331805682859652,Infinity,0.038930911935261665,-0.36751077990196496,4.256953918855876,2.6474147577352745,0.05103391498787668,1.6079663779231474,29.377616028275526,28.552424816809516,0.45283545303657013,0.7000000000000003,5.267866028622699
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID155,155,8,4001.0,93.96218820250762,70.08859369750509,0.0,16800.546875,7.0,10.130736948717285,1.0,,50.0477977977978,45.0,8.0,196.0,199991.0,23.885405762006073,134.84534534534535,131.0,3.0,255.0,538842.0,70.33698330096887,12.215965965965966,7.0,0.0,94.0,48815.0,10.547996522142526,253.46846846846847,255.0,0.0,255.0,1012860.0,19.70512932992904,2.5045045045045047,3.0,1.0,3.0,10008.0,0.5344031372672945,-0.08054969418297137,-0.36712839780613715,0.7412038079059878,1.6321882657512394,-0.03671362271111659,-0.08827945712771702,1.0140356383031397,12.952712148922837,0.06864252500966385,0.6020653203799087,-0.2524832569015414,-0.3459904610496997,26.74372912526596,4.061336991443403,3.1082265378733482,6.584956919755929,322.42740668395845,152.16589624154045,0.17498755282108064,0.6226620947630922,8.474251583598354
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID102,102,8,4220.0,98.80958393762806,71.02215948185042,0.0,19200.625,8.0,10.412112991949705,1.0,,39.14478672985782,35.0,7.0,130.0,165191.0,17.41315453929179,132.36469194312795,128.0,5.0,255.0,558579.0,67.41121246876183,10.23744075829384,8.0,0.0,75.0,43202.0,8.263096213465818,252.40165876777252,255.0,0.0,255.0,1065135.0,25.612127651042698,2.2997630331753554,2.0,1.0,3.0,9705.0,0.6287343545624919,-0.10525208954404529,-0.5288792232173869,0.7957630085238919,1.740222326100124,-0.06931195410859384,-0.1845366341428051,1.0359115427488945,10.028600021270321,0.048940272316054356,0.3413198255741769,0.08046044000546539,0.14383934253213973,26.211066424807992,4.609103706146237,-0.029869596527202315,5.6868033561179265,340.5866473607772,163.85586245838965,0.15940924800507103,0.5532974957388224,8.878675334558245
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID109,109,8,3710.0,100.7700444187418,70.71691543985793,0.0,21600.703125,9.0,9.776497675948095,1.0,,42.98360655737705,39.0,5.0,144.0,159942.0,18.75822400287238,138.01800591238916,136.0,2.0,255.0,513565.0,69.19347930929447,11.126847621607094,7.0,0.0,69.0,41403.0,8.206772182570525,252.3958613276001,255.0,0.0,255.0,939165.0,25.640797759599078,2.3837678043536683,2.0,1.0,3.0,8870.0,0.6015168048365596,-0.09912931086160941,-0.5042904693172404,0.7633496312370384,1.7269733818274788,-0.09639731197508639,-0.2892791736351083,1.0112870821712028,9.89876666617454,0.06392980059968126,0.4762517195931534,0.6459150373279133,0.14937374669050874,23.918157853457366,4.844856376094792,-0.015871510930792837,4.936814633241338,300.27313305823964,140.0647867373362,0.19233946812172997,0.5567943729422328,8.082965527977747
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID144,144,8,5685.0,91.05682287492776,71.44318051521502,0.0,24000.78125,10.0,12.079186837724855,1.0,,35.82787174066244,32.0,7.0,181.0,203359.0,17.906870340962403,101.06730091613812,89.0,6.0,255.0,573658.0,58.71918731364839,8.366807610993657,6.0,0.0,61.0,47490.0,6.79824163005412,252.8884778012685,255.0,0.0,255.0,1435395.0,23.11003522300393,2.1448202959830867,2.0,1.0,3.0,12174.0,0.6688747493034688,-0.030993494757717836,-0.12798974504339808,0.9138432246967995,1.6437129031727935,-0.12013664803176134,-0.33608835369838286,1.1655026506125434,11.7791235331875,0.07658609700404814,0.4562231045584056,1.8792655515597707,-0.008161765082060393,36.89859196684069,4.49262671059875,3.11953376002677,8.213144412775632,458.3795885510747,218.9031646509108,0.12020735859191505,0.5674393046258372,10.224437038755612
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID121,121,8,4039.0,88.33748534653111,71.7702164240646,0.0,26400.859375,11.0,10.20023455585213,1.0,,37.24314306893996,34.0,6.0,133.0,150723.0,16.899376150932227,101.5888312330121,96.0,8.0,255.0,411130.0,54.093627788024484,8.668643439584878,6.0,1.0,64.0,35082.0,6.393402332807249,252.47961452928095,255.0,0.0,255.0,1021785.0,25.229015634891173,2.090931554237707,2.0,1.0,3.0,8462.0,0.7153664665217139,-0.1117692332519685,-0.5546284046108566,0.7283584379591168,1.5828552198621624,-0.12530785132868902,-0.38848312196328194,1.0353285145068518,10.181216356100114,0.01825721177570764,0.10481373387104766,-1.4634622221729592,-0.35129047028366706,23.97014106535274,4.8967294755849,3.05868783351493,4.895132799324099,326.8663321827363,149.26690877387256,0.18435417438939317,0.5801045620568646,8.256166526119337
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID139,139,8,5150.0,114.86195572854052,71.32093540440776,0.0,28800.9375,12.0,11.498990920475562,1.0,,30.84890269955331,28.0,6.0,105.0,158841.0,12.743193303987821,116.26995533113225,109.0,2.0,255.0,598674.0,58.7083297344075,10.241211885803068,7.0,0.0,231.0,52732.0,9.42096323826796,253.21712953971644,255.0,0.0,255.0,1303815.0,21.24949493971576,2.2670421441056514,2.0,1.0,3.0,11673.0,0.7437667749448089,-0.13733820342860925,-0.7708009509019597,0.796365846957954,1.755964022541869,-0.008610593850172639,-0.018883168521054657,1.0687907224892845,12.312622948674122,0.017822068796828777,0.10674291732009816,0.12321680264424029,0.8000951133847081,36.34132001409416,4.585294812706404,-0.02474769370377618,7.925623432846234,415.40271894927025,193.71082206947,0.13911418970171185,0.5470875850340137,9.504279878807656
20250724_20250724_Position001_20250724_20250724_Position001_corrected_xyz,ID133,133,8,5344.0,141.14738148680814,70.46509536170299,0.0,31201.015625,13.0,11.7098569843731,1.0,,29.323457716107256,27.0,2.0,100.0,156382.0,13.779306458111948,133.33302081380086,127.0,1.0,255.0,711065.0,72.2874260993018,9.683292705794113,7.0,0.0,234.0,51641.0,10.11585255314573,252.89611850740673,255.0,0.0,255.0,1348695.0,23.068663813119215,2.4697168573035815,3.0,1.0,3.0,13171.0,0.7533818816842194,-0.20170616539528313,-1.075410355060774,0.8868472452318135,1.7338719956656776,-0.10458318088095,-0.22360791081536838,1.0761086472747663,11.364642102225224,0.035614718223559216,0.22547234871287056,1.299392048016031,0.47751691632670284,34.70657537916645,4.372781735718408,3.138644050275274,7.936955804510211,430.7775427223099,207.33066487939098,0.1259319237656207,0.5900071850992095,9.989345013443417
